traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Hyundai,6,Sedan
4x2,Automático,181,Gasolina,2.4,6.0,Combustión,175,No,Kia,8,Suv
4x4,Automático,225,Gasolina,2.0,7.0,Combustión,258,Sí,Audi,9,Sedan
4x2,Automático,150,Gasolina,1.4,6.0,Combustión,184,Sí,Volkswagen,4,Sedan
4x2,Manual,110,Gasolina,1.6,5.0,Combustión,114,Sí,Volkswagen,4,Sedan
4x2,Automático,252,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,7,Sedan
4x2,Automático,154,Gasolina,1.6,7.0,Combustión,184,Sí,Mercedes Benz,8,Hatchback
4x4,Automático,180,Gasolina,2.0,7.0,Combustión,236,Sí,Volkswagen,5,Suv
4x2,Automático,131,Gasolina,2.0,4.0,Combustión,142,No,Renault,7,Suv
4x2,Automático,138,Gasolina,1.4,7.0,Combustión,179,Sí,Kia,4,Suv
4x2,Automático,381,Estándar,5.7,6.0,Combustión,401,No,Toyota,8,Suv
4x2,Automático,192,Estándar,2.0,6.0,Combustión,207,Sí,Mini,8,Hatchback
4x2,Manual,81,Gasolina,1.2,5.0,Combustión,80,No,Chevrolet,5,Sedan
4x2,Automático,138,Estándar,1.5,7.0,Combustión,162,Sí,Bmw,7,Suv
4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Seat,5,Hatchback
4x2,Automático,240,Estándar,2.0,6.0,Combustión,260,Sí,Hyundai,8,Suv
4x4,Automático,176,Estándar,2.5,6.0,Combustión,172,No,Toyota,8,Suv
4x2,Automático,155,Gasolina,2.0,6.0,Combustión,143,No,Hyundai,7,Suv
4x2,Automático,186,Gasolina,2.0,6.0,Combustión,186,No,Mazda,4,Hatchback
4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Hyundai,5,Suv
4x2,Automático,115,Gasolina,1.6,6.0,Combustión,114,No,Chevrolet,10,Sedan
4x2,Automático,192,Gasolina,2.0,8.0,Combustión,207,Sí,Mini,7,Hatchback
4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Hyundai,7,Sedan
4x4,Automático,320,Gasolina,2.0,8.0,Combustión,295,Sí,Volvo,9,Suv
4x2,Automático,172,Gasolina,2.4,6.0,Combustión,165,No,Jeep,9,Suv
4x2,Automático,130,Estándar,1.2,6.0,Combustión,141,Sí,Chevrolet,4,Sedan
4x2,Manual,118,Gasolina,1.6,5.0,Combustión,118,No,Peugeot,10,Hatchback
4x4,Automático,400,Estándar,5.6,7.0,Combustión,413,No,Infiniti,8,Suv
4x2,Manual,125,Gasolina,1.8,6.0,Combustión,128,No,Nissan,10,Sedan
4x2,Automático,177,Estándar,2.4,5.0,Combustión,164,No,Honda,11,Suv
4x4,Automático,261,Gasolina,2.0,10.0,Combustión,280,Sí,Acura,6,Suv
4x2,Automático,208,Gasolina,2.0,7.0,Combustión,258,Sí,Mercedes Benz,10,Sedan
4x2,Manual,138,Gasolina,1.4,6.0,Combustión,148,Sí,Chevrolet,9,Hatchback
4x4,Automático,273,Gasolina,3.7,6.0,Combustión,270,No,Mazda,12,Suv
