fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
9.0,4x2,Manual,166,Gasolina,2.5,6.0,Combustión,178,No,Nissan,5
14.0,4x2,Automático,101,Estándar,1.4,6.0,Combustión,98,No,Fiat,11
12.0,4x2,Manual,115,Gasolina,2.0,5.0,Combustión,125,No,Volkswagen,8
8.0,4x2,Automático,173,Gasolina,2.4,4.0,Combustión,166,No,Dodge,11
10.0,4x2,Automático,140,Gasolina,1.8,5.0,Combustión,128,No,Honda,10
14.0,4x2,Automático,120,Gasolina,1.6,6.0,Combustión,112,No,Kia,7
14.0,4x2,Manual,120,Gasolina,1.6,6.0,Combustión,112,No,Kia,8
12.0,4x2,Automático,153,Gasolina,2.0,6.0,Combustión,142,No,Kia,9
13.0,4x2,Automático,115,Gasolina,1.6,6.0,Combustión,114,No,Chevrolet,8
17.0,4x2,Manual,107,Gasolina,1.6,5.0,Combustión,104,No,Chevrolet,7
16.0,4x2,Manual,106,Gasolina,1.6,5.0,Combustión,105,No,Nissan,8
14.0,4x2,Manual,102,Gasolina,1.5,5.0,Combustión,99,No,Mazda,12
16.0,4x2,Manual,107,Gasolina,1.5,5.0,Combustión,104,No,Toyota,4
9.0,4x2,Manual,115,Gasolina,2.0,5.0,Combustión,125,No,Seat,11
12.0,4x2,Manual,115,Gasolina,2.0,5.0,Combustión,125,No,Volkswagen,9
21.0,4x2,Manual,76,Gasolina,1.2,5.0,Combustión,74,No,Mitsubishi,7
18.0,4x2,Manual,91,Diesel,1.6,5.0,Combustión,170,Sí,Peugeot,5
15.0,4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,9
16.0,4x2,Manual,105,Estándar,1.5,5.0,Combustión,105,No,Ford,8
